Категория;Оборот;Динамика_%;Товаров;Ср_цена;Продавцов;Доля_топ5_%;В_охвате
Матрасы;11896004847;36.0;978434;12158;4897;27.5;да
Столы;11424699752;9.0;977988;11682;12465;6.8;да
Диваны и кресла;11206272257;22.0;395664;28323;6413;20.6;да
Шкафы;10891070858;24.0;743284;14653;4999;39.3;да
Стулья, скамьи, табуреты, пуфики;10359945447;26.0;1193906;8677;19641;10.4;да
Кровати;10125871090;31.0;489060;20705;3597;19.0;да
Садовая мебель;9338255415;287.0;973689;9591;15067;14.3;да
Комоды и тумбы;8535078523;24.0;1139831;7488;12076;11.6;да
Полки и стеллажи;7441483262;13.0;2493769;2984;28060;14.3;да
Мебельная фурнитура и комплектующие;5929759401;7.0;6395990;927;26852;9.4;да
Компьютерные и офисные кресла;5090347129;-1.0;360702;14112;4891;19.1;нет
Мебель для кухни;4457866320;22.0;338411;13173;1424;36.3;да
Мебель для ванной;4432589786;20.0;293209;15118;2638;31.7;да
Комплекты мебели;2224328740;8.0;124076;17927;1589;33.1;да
Мебель для бизнеса;1310826727;22.0;70992;18464;1194;23.6;да
Мебель бескаркасная;943394061;70.0;126528;7456;2771;26.4;да
Садовые и пляжные зонты;558686493;674.0;173295;3224;3952;42.8;нет
