Категория;Подкатегория;Оборот;Динамика_%;Продавцов;Доля_топ5_%;Лидер_1;Лидер_2
Диваны и кресла;Диван раскладной;5254135345;22.0;1483;32.1;MOON FAMILY;Меббери
Диваны и кресла;Угловой диван;1379638980;18.0;182;48.7;Divan Boss;Много Мебели
Диваны и кресла;Прямой диван;1109423171;6.0;1025;17.4;Селин;Монофикс
Диваны и кресла;Кресло;1094897301;12.0;2192;12.4;КемпингГрупп;Реклайнер
Диваны и кресла;Кресло-кровать;632627241;32.0;797;37.0;ГрафМаш НЗ;Logium
Диваны и кресла;Подвесное кресло;553174499;196.0;610;48.0;Barberries;Сердце дома
Диваны и кресла;Кресло-качалка;512442941;5.0;1356;48.2;КемпингГрупп;Wood Space
Диваны и кресла;Кухонный уголок;387301792;35.0;114;54.8;BONMEBEL;Итана
Диваны и кресла;Модульный диван;212643179;12.0;273;63.0;KRASDIVAN;FORREST
Диваны и кресла;Кушетка;57278614;27.0;333;45.1;Фабрика Divan24;Удобные Диваны
Диваны и кресла;Запчасти для дивана;9852843;-1.0;159;66.0;;
Диваны и кресла;Запчасти для кресла;2856351;23.0;50;85.9;;
Комоды и тумбы;Тумба;3381399327;17.0;4635;16.6;Мебельная Эстетика;ГУД ЛАКК
Комоды и тумбы;Комод;3239415237;37.0;2953;17.9;ГУД ЛАКК;НОНТОН.РФ
Комоды и тумбы;Обувница;1728112389;45.0;6124;17.7;Мебель Lina Loft;ООО «ЗМИ»
Комоды и тумбы;Пеленальный стол;83304819;19.0;465;56.7;ALEXCARE;СТУЛЛИ
Комоды и тумбы;Этажерка для обуви;66443116;26.0;1679;42.3;Сима-Ленд;Ozon
Комоды и тумбы;Комод пеленальный;36403634;-89.0;38;69.9;;
Комплекты мебели;Комплект мебели для прихожей;890258096;9.0;346;53.3;НОНТОН.РФ;Правила мебели
Комплекты мебели;Стенка для гостиной;558956340;10.0;212;58.7;НОНТОН.РФ;Правила мебели
Комплекты мебели;Комплект детской мебели;429102606;-7.0;1022;30.4;КiТ;FunDesk
Комплекты мебели;Обеденная группа;146470621;12.0;104;87.4;Мебельная Фабрика «ТРИ БОБРА»;Beemebel.ru
Комплекты мебели;Комплект мебели для спальни;133651307;52.0;96;53.8;OOO «Мебельбай»;ВМ-мебель.РФ
Комплекты мебели;Комплект мягкой мебели;45581733;35.0;32;70.1;SKANDILINE;Фабрика Фантазер
Комплекты мебели;Модуль стенки для гостиной;16674118;45.0;35;78.2;Alba Мебель;DeKomoд
Комплекты мебели;Комплект офисной мебели;3633920;-41.0;32;81.0;Правила мебели;компания «Мебель 24»
Кровати;Двуспальная кровать;5174793598;29.0;654;30.8;SleepShop;DG-HOME
Кровати;Кровать детская;1819573069;22.0;800;26.2;ОПТИПРОМ-А;Comfy-meb
Кровати;Односпальная кровать;1327082306;34.0;670;30.5;SleepShop;MASSA
Кровати;Раскладушка;705750569;69.0;1486;26.4;Энх;Lucky Goods
Кровати;Двухъярусная кровать;396856565;28.0;140;32.4;RayVol;Фабрика NEWKIDS
Кровати;Тахта;179803106;31.0;96;57.8;Правила мебели;Ami
Кровати;Колыбель;138777462;48.0;368;60.8;Pituso;Lionelo Russia
Кровати;Каркас кровати;125988519;27.0;74;68.0;Стальпром;Scandi.plus
Кровати;Кровать-чердак;101225043;15.0;71;38.2;ООО «Фабрика Новита»;МебельДилер
Кровати;Шкаф-кровать;86834599;57.0;12;85.1;STYLINT;Room Saver
Кровати;Кровать раздвижная;48852523;60.0;205;81.1;ГУД ЛАКК;Сканд Мебель
Кровати;Реечное дно;9816682;3.0;28;79.5;;
Кровати;Маятник для кроватки;6346221;18.0;37;66.5;;
Кровати;Трёхъярусная кровать;4170828;5.0;11;87.2;;
Матрасы;Матрас;10640376360;35.0;3473;30.6;Dream Store;LAQY
Матрасы;Топпер-наматрасник;755821305;4.0;438;40.7;ORMATEK;Luna inc
Матрасы;Матрас для садовой мебели;482852536;469.0;1478;39.6;Bio-Line;SGMedical shop
