Категория;Уровень;Узел;Позиция;Продавец;Исключён
Мебель (корень);Категория;Мебель;1;НОНТОН.РФ;
Мебель (корень);Категория;Мебель;2;ООО «УЮТНАЯ ЛОГИКА»;
Диваны и кресла;Категория;Диваны и кресла;1;MOON FAMILY;
Диваны и кресла;Категория;Диваны и кресла;2;Divan Boss;
Комоды и тумбы;Категория;Комоды и тумбы;1;ГУД ЛАКК;
Комоды и тумбы;Категория;Комоды и тумбы;2;НОНТОН.РФ;
Комплекты мебели;Категория;Комплекты мебели;1;НОНТОН.РФ;
Комплекты мебели;Категория;Комплекты мебели;2;Правила мебели;
Кровати;Категория;Кровати;1;SleepShop;
Кровати;Категория;Кровати;2;DG-HOME;
Матрасы;Категория;Матрасы;1;Dream Store;
Матрасы;Категория;Матрасы;2;LAQY;
Мебель бескаркасная;Категория;Мебель бескаркасная;1;Bubble Bag;
Мебель бескаркасная;Категория;Мебель бескаркасная;2;GoodPoof;
Мебель для бизнеса;Категория;Мебель для бизнеса;1;АБВ;
Мебель для бизнеса;Категория;Мебель для бизнеса;2;PRO-MEDIC RU;
Мебель для ванной;Категория;Мебель для ванной;1;FAURAPLUS;
Мебель для ванной;Категория;Мебель для ванной;2;Сантехника-Онлайн;
Мебель для кухни;Категория;Мебель для кухни;1;НОНТОН.РФ;
Мебель для кухни;Категория;Мебель для кухни;2;Правила мебели;
Мебельная фурнитура и комплектующие;Категория;Мебельная фурнитура и комплектующие;1;ВСЁ ДЛЯ МЕБЕЛИ;
Мебельная фурнитура и комплектующие;Категория;Мебельная фурнитура и комплектующие;2;Millwood;
Полки и стеллажи;Категория;Полки и стеллажи;1;GASTRORAG & GEMLUX;
Полки и стеллажи;Категория;Полки и стеллажи;2;TOVEW;
Садовая мебель;Категория;Садовая мебель;1;Ami;
Садовая мебель;Категория;Садовая мебель;2;Sundays;
Столы;Категория;Столы;1;Millwood;
Столы;Категория;Столы;2;LAREN;
Стулья, скамьи, табуреты, пуфики;Категория;Стулья, скамьи, табуреты, пуфики;1;ООО «Стул Груп»;
Стулья, скамьи, табуреты, пуфики;Категория;Стулья, скамьи, табуреты, пуфики;2;АйДа Мебель;
Шкафы;Категория;Шкафы;1;ООО «УЮТНАЯ ЛОГИКА»;
Шкафы;Категория;Шкафы;2;НОНТОН.РФ;
Диваны и кресла;Подкатегория;Диван раскладной;1;MOON FAMILY;
Диваны и кресла;Подкатегория;Диван раскладной;2;Меббери;
Диваны и кресла;Подкатегория;Кресло;1;КемпингГрупп;
Диваны и кресла;Подкатегория;Кресло;2;Реклайнер;
Диваны и кресла;Подкатегория;Кресло-качалка;1;КемпингГрупп;
Диваны и кресла;Подкатегория;Кресло-качалка;2;Wood Space;
Диваны и кресла;Подкатегория;Кресло-кровать;1;ГрафМаш НЗ;
Диваны и кресла;Подкатегория;Кресло-кровать;2;Logium;
Диваны и кресла;Подкатегория;Кухонный уголок;1;BONMEBEL;
