Продавец;Категория;Позиция;Оборот;Товаров;Ср_цена;Доля_выкупа_%
НОНТОН.РФ;Мебель;1;2665236922;155348;17157;90.8
ООО «УЮТНАЯ ЛОГИКА»;Мебель;2;2259809523;145047;15580;95.5
MOON FAMILY;Диваны и кресла;1;603620175;12095;49907;87.6
Divan Boss;Диваны и кресла;2;483751792;8906;54318;88.2
ГУД ЛАКК;Комоды и тумбы;1;356520087;26244;13585;86.7
НОНТОН.РФ;Комоды и тумбы;2;214827585;33286;6454;88.7
НОНТОН.РФ;Комплекты мебели;1;348398109;17331;20103;92.7
Правила мебели;Комплекты мебели;2;186134079;8237;22597;91.1
SleepShop;Кровати;1;706234036;20777;33991;87.8
DG-HOME;Кровати;2;450844022;9879;45637;86.0
Dream Store;Матрасы;1;896825067;45744;19605;90.0
LAQY;Матрасы;2;870925689;46693;18652;85.4
Bubble Bag;Мебель бескаркасная;1;72887592;3134;23257;81.7
GoodPoof;Мебель бескаркасная;2;64489526;7904;8159;89.1
АБВ;Мебель для бизнеса;1;110262002;9625;11456;90.6
PRO-MEDIC RU;Мебель для бизнеса;2;57514341;905;63552;81.2
FAURAPLUS;Мебель для ванной;1;374405376;8912;42011;82.0
Сантехника-Онлайн;Мебель для ванной;2;326752568;23335;14003;91.2
НОНТОН.РФ;Мебель для кухни;1;699145424;22574;30971;91.4
Правила мебели;Мебель для кухни;2;323428495;34185;9461;89.4
ВСЁ ДЛЯ МЕБЕЛИ;Мебельная фурнитура;1;242262548;254579;952;87.2
Millwood;Мебельная фурнитура;2;95989029;6381;15043;78.8
GASTRORAG & GEMLUX;Полки и стеллажи;1;599472863;127101;4717;90.0
TOVEW;Полки и стеллажи;2;200049479;30118;6642;90.2
Ami;Садовая мебель;1;366157144;27545;13293;84.1
Sundays;Садовая мебель;2;266086657;6645;40043;87.4
Millwood;Столы;1;213183094;6233;34202;83.9
LAREN;Столы;2;158626227;8939;17745;86.9
ООО «Стул Груп»;Стулья;1;453833669;35193;12896;80.4
АйДа Мебель;Стулья;2;192986819;12373;15597;86.9
ООО «УЮТНАЯ ЛОГИКА»;Шкафы;1;2008941530;123488;16268;95.6
НОНТОН.РФ;Шкафы;2;1134998979;55481;20457;92.4
